,customer_id,customer_name,gender_cd,gender,birth_day,age,postal_cd,address,application_store_cd,application_date,status_cd
2383,CS040614000089,板垣 杏,1,女性,1957-07-29,61,226-0027,神奈川県横浜市緑区長津田**********,S14040,20180929,0-00000000-0
12000,CS012703000026,高井 米蔵,0,男性,1940-01-11,79,231-0802,神奈川県横浜市中区小港町**********,S14012,20170514,0-00000000-0
788,CS023512000025,堀口 未來,1,女性,1959-09-03,59,212-0004,神奈川県川崎市幸区小向西町**********,S14023,20150112,9-20100614-A
6481,CS027513000076,安藤 真帆,1,女性,1963-12-27,55,251-0052,神奈川県藤沢市藤沢**********,S14027,20150218,4-20081007-5
20233,CS003413000814,ともさか 奈々,1,女性,1969-08-11,49,201-0003,東京都狛江市和泉本町**********,S13003,20170903,0-00000000-0
8583,CS003402000133,石井 亮介,0,男性,1976-03-24,43,214-0004,神奈川県川崎市多摩区菅馬場**********,S13003,20171031,0-00000000-0
10283,CS034513000114,皆川 陽子,1,女性,1961-11-16,57,216-0035,神奈川県川崎市宮前区馬絹**********,S14034,20150917,5-20080715-6
11680,CS002512000164,高島 しほり,1,女性,1961-02-24,58,185-0003,東京都国分寺市戸倉**********,S13002,20150507,0-00000000-0
6065,CS042413000009,門脇 真奈美,1,女性,1975-10-11,43,231-0806,神奈川県横浜市中区本牧町**********,S14042,20161119,0-00000000-0
5204,CS022413000212,杉野 京子,1,女性,1977-09-13,41,240-0113,神奈川県三浦郡葉山町長柄**********,S14022,20150902,0-00000000-0
